id	strand	start coding	end coding	hgnc	ec	aktivita enzymu
uc010xxr.2	+	46195961	46206307	QPCTL	EC:3	hydrolase activity
uc010ekn.3	+	46195961	46206307	QPCTL	EC:3	hydrolase activity
uc002pdd.1	-	46273745	46283317	n/a	EC:2	transferase activity
uc002pde.1	-	46273738	46283317	n/a	EC:2	transferase activity
uc002pdg.1	-	46273738	46285610	n/a	EC:2	transferase activity
uc002pdf.1	-	46273745	46285610	DMPK	EC:2	transferase activity
uc002pdh.1	-	46273745	46285610	n/a	EC:2	transferase activity
uc002pdi.1	-	46273745	46285629	n/a	EC:2	transferase activity
uc010xxu.1	-	46282500	46283317	n/a	EC:2	transferase activity
uc002pds.1	-	46387277	46389032	IRF2BP1	EC:6	ligase activity
uc002pdx.2	-	46522495	46526279	PGLYRP1	EC:3	hydrolase activity
uc002pem.3	+	46850353	46893603	PPP5C	EC:3	hydrolase activity
uc002pen.3	+	46850353	46893603	PPP5C	EC:3	hydrolase activity
uc010xya.2	+	46878896	46893603	PPP5C	EC:3	hydrolase activity
uc010xyb.1	+	46886456	46890889	n/a	EC:3	hydrolase activity
uc010eks.3	-	47177779	47193876	n/a	EC:2	transferase activity
uc002pfg.3	-	47177779	47214203	n/a	EC:2	transferase activity
uc002pfh.3	-	47177779	47219627	PRKD2	EC:2	transferase activity
uc002pfi.3	-	47177779	47219627	PRKD2	EC:2	transferase activity
uc002pfj.3	-	47177779	47219627	PRKD2	EC:2	transferase activity
uc010xye.2	-	47177779	47219627	n/a	EC:2	transferase activity
uc002pfk.3	-	47177779	47214203	PRKD2	EC:2	transferase activity
uc002pfn.2	+	47258707	47260195	FKRP	EC:2	transferase activity
uc002pfp.2	+	47258707	47260195	FKRP	EC:2	transferase activity
uc021uwj.1	+	47258707	47260195	FKRP	EC:2	transferase activity
uc002pgc.3	+	47634187	47712508	SAE1	EC:6	ligase activity
uc002pge.3	+	47646844	47712508	SAE1	EC:6	ligase activity
uc010xyn.2	+	47856287	47885370	DHX34	EC:3	hydrolase activity
uc002phj.4	+	48219869	48244689	EHD2	EC:3	hydrolase activity
uc010xyu.2	+	48221769	48244689	EHD2	EC:3	hydrolase activity
uc002phr.2	-	48374711	48389514	SULT2A1	EC:2	transferase activity
uc002phw.3	-	48551599	48607906	PLA2G4C	EC:3	hydrolase activity
uc010elr.3	-	48556249	48609786	PLA2G4C	EC:3	hydrolase activity
uc002phx.3	-	48551599	48609786	PLA2G4C	EC:3	hydrolase activity
uc010xzd.2	-	48551599	48613772	PLA2G4C	EC:3	hydrolase activity
uc002phy.4	-	48601363	48609786	n/a	EC:3	hydrolase activity
uc010xze.1	-	48618905	48643393	LIG1	EC:6	ligase activity
uc002pia.1	-	48618905	48668823	LIG1	EC:6	ligase activity
uc010xzf.1	-	48618905	48668823	n/a	EC:6	ligase activity
uc010xzg.1	-	48618905	48668823	n/a	EC:6	ligase activity
uc002pjk.3	-	48989029	49016446	LMTK3	EC:2	transferase activity
uc002pjl.3	+	49055509	49102663	SULT2B1	EC:2	transferase activity
uc002pjr.3	+	49123771	49133030	SPHK2	EC:2	transferase activity
uc002pjt.3	+	49131055	49133030	SPHK2	EC:2	transferase activity
uc002pjs.3	+	49123771	49133030	SPHK2	EC:2	transferase activity
uc002pjv.3	+	49129216	49133030	SPHK2	EC:2	transferase activity
uc010xzu.1	+	49129216	49131538	n/a	EC:2	transferase activity
uc002pjz.1	-	49141375	49148889	CA11	EC:4	lyase activity
uc010xzv.2	+	49166472	49184000	n/a	EC:2	transferase activity
uc002pka.3	+	49166472	49184000	n/a	EC:2	transferase activity
uc010xzw.2	+	49166472	49184000	n/a	EC:2	transferase activity
uc010ema.3	+	49141384	49184000	n/a	EC:2	transferase activity
uc002pke.4	+	49206213	49207245	FUT2	EC:2	transferase activity
uc010emc.3	+	49206213	49207245	FUT2	EC:2	transferase activity
uc021uwx.1	+	49206213	49207245	FUT2	EC:2	transferase activity
uc002pkk.3	-	49253440	49254538	FUT1	EC:2	transferase activity
uc021uwy.1	-	49253440	49254538	FUT1	EC:2	transferase activity
uc002pkq.4	-	49298682	49309953	BCAT2	EC:2	transferase activity
uc002pks.3	-	49298682	49309953	BCAT2	EC:2	transferase activity
uc002pkr.3	-	49298682	49314264	BCAT2	EC:2	transferase activity
uc010emh.2	-	49299606	49314264	BCAT2	EC:2	transferase activity
uc002pku.1	-	49302927	49309953	n/a	EC:2	transferase activity
uc002pkv.1	-	49316431	49339668	HSD17B14	EC:1	oxidoreductase activity
uc010emk.1	-	49316508	49339668	HSD17B14	EC:1	oxidoreductase activity
uc002ple.1	+	49436978	49448190	DHDH	EC:1	oxidoreductase activity
uc002plp.3	-	49472544	49496369	GYS1	EC:2	transferase activity
uc010xzz.2	-	49472544	49496311	n/a	EC:2	transferase activity
uc010yab.2	+	49497168	49513428	n/a	EC:3	hydrolase activity
uc002plr.1	+	49497168	49519099	RUVBL2	EC:3	hydrolase activity
uc010emn.1	+	49507545	49519099	RUVBL2	EC:3	hydrolase activity
uc010emx.2	+	49897770	49920767	n/a	EC:3	hydrolase activity
uc002pnt.3	+	49956588	49973724	ALDH16A1	EC:1	oxidoreductase activity
uc010yas.2	+	49963101	49973724	ALDH16A1	EC:1	oxidoreductase activity
uc010yat.3	+	49964122	49973724	ALDH16A1	EC:1	oxidoreductase activity
uc010enf.2	+	50180537	50191502	n/a	EC:2	transferase activity
uc002ppl.4	+	50195509	50213855	CPT1C	EC:2	transferase activity
uc002ppi.3	+	50200690	50216321	CPT1C	EC:2	transferase activity
uc010eng.3	+	50195509	50216862	CPT1C	EC:2	transferase activity
uc010enh.3	+	50195509	50216862	CPT1C	EC:2	transferase activity
uc002ppj.3	+	50195509	50216862	CPT1C	EC:2	transferase activity
uc002pqg.3	-	50364504	50367307	PNKP	EC:2	transferase activity
uc021uxx.1	-	50364592	50370461	PNKP	EC:2	transferase activity
uc002pqj.3	-	50364504	50370461	PNKP	EC:2	transferase activity
uc002pqt.1	-	50392926	50399417	IL4I1	EC:1	oxidoreductase activity
uc002pqv.2	-	50392926	50404900	IL4I1	EC:1	oxidoreductase activity
uc002prg.2	-	50482350	50519419	VRK3	EC:2	transferase activity
uc002prh.1	-	50482350	50519419	VRK3	EC:2	transferase activity
uc010ens.2	-	50482350	50519419	VRK3	EC:2	transferase activity
uc010ybm.1	-	50482350	50510831	n/a	EC:2	transferase activity
uc010ent.2	-	50491624	50498479	n/a	EC:2	transferase activity
uc002prl.3	-	50491624	50519419	VRK3	EC:2	transferase activity
uc002prx.3	-	50861809	50868878	NAPSA	EC:3	hydrolase activity
uc002psb.5	+	50902108	50921204	POLD1	EC:2	transferase activity
uc002psc.5	+	50902108	50921204	POLD1	EC:2	transferase activity
uc010eny.4	+	50902108	50921204	POLD1	EC:2	transferase activity
uc002psn.2	-	51009429	51013688	JOSD2	EC:3	hydrolase activity
uc031rmi.1	-	51009429	51013688	JOSD2	EC:3	hydrolase activity
uc002pso.2	-	51009429	51013688	JOSD2	EC:3	hydrolase activity
uc002psp.2	-	51009429	51013688	JOSD2	EC:3	hydrolase activity
uc002psq.2	-	51009429	51013688	JOSD2	EC:3	hydrolase activity
uc010enz.3	-	51014986	51017080	ASPDH	EC:1	oxidoreductase activity
uc002pta.1	+	51293671	51298415	ACPT	EC:3	hydrolase activity
uc002ptk.1	-	51322449	51327004	KLK1	EC:3	hydrolase activity
uc010yci.2	-	51329199	51334748	n/a	EC:3	hydrolase activity
uc002ptl.3	-	51329051	51334748	KLK15	EC:3	hydrolase activity
uc002pto.3	-	51329051	51334748	n/a	EC:3	hydrolase activity
uc021uyi.1	+	51358211	51363383	KLK3	EC:3	hydrolase activity
uc010eof.2	+	51361441	51363383	KLK3	EC:3	hydrolase activity
uc002ptv.3	+	51376729	51381815	KLK2	EC:3	hydrolase activity
uc010ycl.2	+	51378067	51381815	n/a	EC:3	hydrolase activity
uc010ycm.2	+	51379827	51381815	KLK2	EC:3	hydrolase activity
uc002pty.1	-	51410337	51412584	n/a	EC:3	hydrolase activity
uc002pua.1	-	51410189	51413994	KLK4	EC:3	hydrolase activity
uc002pub.1	-	51410189	51412024	KLK4	EC:3	hydrolase activity
uc010eoi.1	-	51411721	51412024	n/a	EC:3	hydrolase activity
uc002pud.1	-	51411614	51412024	n/a	EC:3	hydrolase activity
uc002pue.3	-	51446886	51455913	KLK5	EC:3	hydrolase activity
uc002puf.3	-	51446886	51455913	KLK5	EC:3	hydrolase activity
uc002pug.3	-	51446886	51455913	KLK5	EC:3	hydrolase activity
uc010eoj.3	-	51462406	51471360	n/a	EC:3	hydrolase activity
uc002puh.3	-	51462419	51471387	KLK6	EC:3	hydrolase activity
uc002pui.3	-	51462419	51471360	KLK6	EC:3	hydrolase activity
uc002puj.3	-	51462419	51466681	KLK6	EC:3	hydrolase activity
uc002pul.3	-	51462419	51471360	KLK6	EC:3	hydrolase activity
uc002pum.3	-	51462419	51466681	KLK6	EC:3	hydrolase activity
uc002puo.3	-	51480791	51485655	KLK7	EC:3	hydrolase activity
uc002pup.3	-	51480791	51485655	KLK7	EC:3	hydrolase activity
uc021uyj.1	-	51480791	51487175	KLK7	EC:3	hydrolase activity
uc010eok.3	-	51480791	51485027	KLK7	EC:3	hydrolase activity
uc002pur.1	-	51499314	51504423	KLK8	EC:3	hydrolase activity
uc002puu.1	-	51499314	51504423	KLK8	EC:3	hydrolase activity
uc002pux.1	-	51506366	51512803	KLK9	EC:3	hydrolase activity
uc010eol.1	-	51506366	51512873	KLK9	EC:3	hydrolase activity
uc002puy.3	-	51518055	51522386	KLK10	EC:3	hydrolase activity
uc002puz.3	-	51518055	51522386	KLK10	EC:3	hydrolase activity
uc002pva.3	-	51518055	51522386	KLK10	EC:3	hydrolase activity
uc002pvc.4	-	51525800	51528887	KLK11	EC:3	hydrolase activity
uc002pvd.1	-	51525800	51530773	KLK11	EC:3	hydrolase activity
uc002pvf.1	-	51525800	51528887	KLK11	EC:3	hydrolase activity
uc002pvg.1	-	51532557	51537877	KLK12	EC:3	hydrolase activity
uc010ycq.1	-	51532410	51537362	n/a	EC:3	hydrolase activity
uc010ycr.1	-	51532557	51537362	n/a	EC:3	hydrolase activity
uc002pvi.1	-	51532557	51537877	KLK12	EC:3	hydrolase activity
uc002pvn.3	-	51559843	51568324	KLK13	EC:3	hydrolase activity
uc010eon.3	-	51559843	51568324	n/a	EC:3	hydrolase activity
uc010eoo.3	-	51559843	51568324	n/a	EC:3	hydrolase activity
uc002pvr.3	-	51563046	51568324	KLK13	EC:3	hydrolase activity
uc021uyk.1	-	51581263	51586004	KLK14	EC:3	hydrolase activity
uc002pvs.1	-	51581263	51586004	KLK14	EC:3	hydrolase activity
uc010eop.3	-	51601857	51607826	CTU1	EC:2	transferase activity
uc002pxd.2	-	52095888	52097574	n/a	EC:2	transferase activity
uc010epd.1	-	52219504	52223055	HAS1	EC:2	transferase activity
uc002pxn.1	-	52216679	52223181	HAS1	EC:2	transferase activity
uc002pxo.1	-	52216679	52227186	HAS1	EC:2	transferase activity
uc002pxp.1	-	52216679	52227186	n/a	EC:2	transferase activity
uc010yeg.1	+	54385748	54410290	n/a	EC:2	transferase activity
uc002qcq.1	+	54385748	54410149	PRKCG	EC:2	transferase activity
uc010yeh.1	+	54387439	54410149	n/a	EC:2	transferase activity
uc002qde.3	+	54606186	54610209	NDUFA3	EC:1	oxidoreductase activity
uc010yem.2	-	54677737	54692222	MBOAT7	EC:2	transferase activity
uc002qdq.3	-	54677737	54692362	MBOAT7	EC:2	transferase activity
uc002qdr.3	-	54677737	54692362	MBOAT7	EC:2	transferase activity
uc002qdt.4	-	54682477	54692362	MBOAT7	EC:2	transferase activity
uc002qdu.3	+	54695215	54697217	TSEN34	EC:3	hydrolase activity
uc010yeo.2	+	54695215	54697526	n/a	EC:3	hydrolase activity
uc002qdv.3	+	54695215	54697217	TSEN34	EC:3	hydrolase activity
uc002qdw.3	+	54695215	54697217	TSEN34	EC:3	hydrolase activity
uc002qio.3	-	55556441	55574400	RDH13	EC:1	oxidoreductase activity
uc002qip.2	-	55556441	55568147	RDH13	EC:1	oxidoreductase activity
uc002qjq.3	-	55693121	55720801	PTPRH	EC:3	hydrolase activity
uc010esv.3	-	55693121	55720801	n/a	EC:3	hydrolase activity
uc002qjs.2	-	55705610	55720801	PTPRH	EC:3	hydrolase activity
uc002qjt.3	-	55738548	55739853	TMEM86B	EC:3	hydrolase activity
uc002qju.3	-	55738548	55740109	TMEM86B	EC:3	hydrolase activity
uc002qkg.3	+	55795810	55823436	BRSK1	EC:2	transferase activity
uc002qkh.3	+	55814122	55823436	BRSK1	EC:2	transferase activity
uc031rnb.1	+	55814122	55823436	BRSK1	EC:2	transferase activity
uc002qkj.4	+	55853304	55858817	SUV420H2	EC:2	transferase activity
uc002qkl.3	+	55854178	55858817	SUV420H2	EC:2	transferase activity
uc002qkn.3	-	55865088	55865889	COX6B2	EC:1	oxidoreductase activity
uc002qkp.1	-	55865088	55865889	COX6B2	EC:1	oxidoreductase activity
uc002qkx.1	-	55912803	55918957	UBE2S	EC:6	ligase activity
uc002qle.2	+	55997075	55998323	NAT14	EC:2	transferase activity
uc010ygc.2	-	56041099	56047661	SBK2	EC:2	transferase activity
uc021vbx.1	-	56052212	56056909	n/a	EC:2	transferase activity
uc002qmb.3	-	56296990	56321678	NLRP11	EC:1	oxidoreductase activity
uc010ygf.2	-	56296990	56329540	NLRP11	EC:1	oxidoreductase activity
uc002qny.3	+	57640043	57642812	USP29	EC:3	hydrolase activity
uc021vci.1	+	57640043	57642812	USP29	EC:3	hydrolase activity
uc002qod.3	+	57743153	57746785	AURKC	EC:2	transferase activity
uc002qoe.3	+	57742616	57746785	AURKC	EC:2	transferase activity
uc010etv.3	+	57742616	57746785	n/a	EC:2	transferase activity
uc002qtc.2	-	59009881	59023322	SLC27A5	EC:6	ligase activity
uc002qtg.1	+	59056124	59061920	TRIM28	EC:6	ligase activity
uc002qth.1	+	59059690	59061920	TRIM28	EC:6	ligase activity
uc002qtl.4	-	59067455	59069748	UBE2M	EC:6	ligase activity
